id,name,property_value,agi,retail_value,comp_index,population,white_population,african_american_population,asian_population,other_population,sq_mi
117,Roanoke City,7779986317.00,1761121575.00,1692267903.00,0.3728,99143,62703,29205,3529,3706,43.0
118,Staunton City,2021564873.00,410724718.00,328425695.00,0.3987,24932,20813,2849,340,930,20.0
119,Suffolk City,9788085722.00,1824207423.00,632874977.00,0.353,92108,47993,39246,1754,3115,400.0
120,Virginia Beach City,57971850185.00,10385241185.00,4638871814.00,0.411,449974,303182,91161,33241,22390,248.0
121,Waynesboro City,2049167044.00,355696831.00,400782416.00,0.369,22630,18265,3040,382,943,14.0
122,Williamsburg City,1892953323.00,313416809.00,321601815.00,0.8,14954,11013,2391,904,646,9.0
123,Winchester City,3140250612.00,554106552.00,663353859.00,0.4645,28078,22862,3174,764,1278,9.0
124,Fairfax City,5450502664.00,986325562.00,824717046.00,0.8,24019,16884,1522,4531,1082,6.0
125,Franklin City,674910269.00,143733838.00,149254304.00,0.3276,7967,3097,4580,77,213,8.0
126,Chesapeake City,26673450787.00,4933749242.00,2897360063.00,0.3678,244835,150828,74950,8562,10495,341.0
127,Lexington City,598342763.00,171398865.00,67426969.00,0.5059,7446,6343,640,221,242,2.5
128,Emporia City,402531437.00,81086984.00,124365555.00,0.2594,5346,1682,3485,54,125,7.0
129,Salem City,2222148328.00,543674972.00,460591278.00,0.3628,25301,22190,1965,475,671,15.0
130,Poquoson City,1678150362.00,371654683.00,43129623.00,0.3816,12271,11441,151,296,383,16.0
131,Manassas City,4181575904.00,909391011.00,437952932.00,0.3599,41085,30015,6327,2604,2139,10.0
132,Manassas Park City,903304124.00,321026365.00,116646726.00,0.26,17478,11782,2730,2013,953,2.5
