zip,total,total_error,white_total,white_error,african_american_total,african_american_error,asian_total,asian_error,other_race_total,other_race_error,multiracial_total,multiracial_error
23453,35019,1253,18561,1159,8693,869,94,3966,1321,459,4956,1468
23454,58904,1196,44918,1243,7756,912,147,2234,907,438,6178,1200
23455,49263,1492,36743,1340,6452,783,80,2425,1251,602,4784,1124
23456,54337,1328,38184,1099,7686,592,172,4485,785,467,6394,1140
23457,4180,334,3885,312,153,111,12,51,2,26,178,174
23459,1430,139,1110,147,203,66,12,18,14,39,170,73
23460,2024,383,1442,245,397,154,12,92,0,36,186,180
23461,453,282,385,229,38,38,12,15,0,36,30,72
23462,65906,1869,35457,1612,19644,1448,125,4523,2621,963,7322,1456
23464,76421,1471,42874,1210,18999,1064,104,8456,1291,462,9602,1399
23480,380,144,294,121,86,101,12,0,0,36,0,36
23486,23,37,23,37,0,12,12,0,0,36,0,36
23487,5728,497,4450,478,954,196,37,35,78,88,422,275
23488,366,291,35,34,331,291,12,0,0,36,0,36
23502,21363,1027,8369,685,11055,1110,34,414,489,272,2072,704
23503,31915,1019,21355,969,7113,646,103,811,1414,658,2444,747
23504,23330,1061,2438,401,19520,1019,14,122,385,298,1730,502
23505,30270,1295,15223,970,9882,983,22,1681,1198,600,4572,1357
23507,6795,483,5975,403,307,118,71,260,90,100,326,186
23508,21697,1010,12324,678,7520,698,81,743,328,180,1564,415
23509,13567,749,5703,498,6570,589,72,340,395,269,1118,353
23510,8913,625,4144,388,3823,412,65,293,288,214,730,369
23511,13773,1242,8611,887,3144,527,59,403,758,319,1714,677
23513,30384,1243,8443,782,17142,1073,66,1645,1878,817,2552,1051
23517,4543,496,2901,242,1229,393,28,178,44,75,382,224
23518,29301,1104,18244,877,6468,611,95,1921,1220,498,2896,774
23523,7561,604,347,178,6674,664,17,148,0,51,784,655
23551,1189,200,813,156,202,102,12,70,50,87,108,126
23601,25005,1144,15282,1060,7856,767,2,947,422,215,996,474
23602,38821,1198,20830,767,12362,929,96,1876,1309,470,4888,1155
23603,3907,588,1996,563,1478,365,12,18,219,215,392,290
23604,6900,714,4268,742,1467,411,47,231,384,239,1100,443
23605,13801,980,4939,593,7964,794,19,63,232,196,1206,569
23606,28772,1087,18606,904,7417,854,78,714,990,432,2090,642
23607,23067,1185,3463,513,18181,1134,43,159,361,265,1806,635
23608,43058,1478,18358,920,18905,1229,60,1813,846,513,6272,1884
23651,479,108,442,114,24,20,12,9,0,36,8,26
23661,12812,751,3852,380,8178,650,108,38,198,162,1092,503
23662,12066,39,11348,43,112,65,16,299,55,78,504,218
23663,13528,1104,5232,672,7221,882,64,174,383,265,1036,501
23664,9593,749,6870,639,2062,481,17,100,181,184,760,458
23665,6363,612,3976,583,1168,374,83,186,645,388,776,380
23666,52249,1373,17977,980,28671,1138,108,2228,1499,550,3748,872
23669,40996,1196,18591,917,19029,1107,206,618,607,414,4302,1178
23690,4374,524,2605,562,1091,304,55,111,203,175,728,476
23691,152,66,143,60,0,12,12,9,0,36,0,36
23692,18273,627,15336,659,1454,404,19,756,0,57,1454,868
23693,24311,790,16836,677,3563,555,36,2589,327,264,1992,667
23696,3696,285,3586,277,21,33,12,19,34,60,72,98
23701,23951,988,9358,631,12323,746,43,425,803,642,2084,839
23702,11020,709,4633,490,5682,688,87,84,184,202,874,455
23703,26655,676,11668,605,13144,695,62,436,519,300,1776,688
23704,17592,900,4251,355,12112,815,72,226,449,298,1108,393
23707,14685,721,7361,484,6703,575,57,110,164,185,694,339
23708,508,268,214,189,142,120,24,17,59,118,152,146
23709,686,278,346,173,168,85,39,30,50,98,184,186
23801,5763,479,2927,302,1909,388,52,127,416,231,768,302
23803,38187,1597,13055,1043,23098,1087,45,271,905,452,1716,554
23805,19440,903,6776,516,11499,778,15,341,218,246,1212,550
23806,1640,197,21,25,1566,194,12,0,20,49,66,60
23821,2016,356,898,174,1104,318,12,0,2,29,24,40
23824,6476,385,3292,354,3093,360,17,21,31,65,78,119
23827,1491,298,799,167,596,224,8,0,7,26,178,192
23828,333,112,171,89,162,99,12,0,0,36,0,36
23829,2454,391,1425,323,795,199,56,7,52,75,350,228
23830,1565,419,1135,354,342,215,12,0,0,36,176,266
23831,35964,1404,23394,1417,9743,1010,118,446,1293,780,2176,718
23832,38329,1540,25579,1495,8943,1235,225,1131,1142,796,3068,1398
23833,2216,354,1959,363,216,108,12,0,0,36,82,88
23834,26017,1038,17730,666,5978,778,73,902,551,285,1712,690
23836,13787,867,8548,730,3729,691,19,1017,150,193,686,438
23837,4406,481,2588,347,1699,343,12,2,43,73,148,106
23838,16666,714,13765,688,1695,354,53,243,412,397,1102,431
23839,936,197,541,167,351,146,12,0,0,36,88,108
23840,2719,710,2140,639,484,248,12,49,11,42,70,128
23841,3266,614,2130,547,972,316,12,0,41,89,246,268
23842,6458,567,4708,544,1633,389,15,14,43,69,120,104
23843,417,165,215,80,142,109,12,59,1,26,0,36
23844,612,264,152,130,386,219,12,0,0,36,148,148
23845,519,215,403,162,116,151,12,0,0,36,0,36
23846,852,196,637,173,204,112,12,11,0,36,0,36
23847,15717,493,5200,337,9711,522,15,21,58,69,1454,638
23850,1211,389,796,309,415,268,12,0,0,36,0,36
23851,13437,574,6346,467,6305,483,36,103,114,139,1138,605
23856,907,220,216,96,639,198,12,5,0,36,94,148
23857,687,276,687,276,0,12,12,0,0,36,0,36
23860,30524,756,15852,535,12586,643,76,450,733,372,1806,679
23866,1974,347,1246,236,558,233,12,0,0,36,340,386
23867,1930,334,852,151,1058,334,12,6,0,36,28,66
23868,6986,604,2573,349,4112,504,17,21,57,84,446,195
23872,2549,425,1729,340,761,279,5,11,3,29,90,128
23874,924,137,649,143,260,82,12,0,0,36,30,46
23875,12313,843,6478,632,5003,687,58,144,212,227,952,410
23876,267,119,159,97,108,89,12,0,0,36,0,36
23878,989,238,740,193,190,113,42,18,30,66,22,48
23879,512,217,248,146,264,156,12,0,0,36,0,36
23881,2023,418,1185,370,787,217,12,0,6,35,90,88
23882,2136,409,930,222,1053,339,12,123,0,36,60,76
23883,2065,243,963,174,1051,208,12,0,0,36,102,156
23884,38,28,8,9,27,19,12,0,0,36,6,10
23885,2542,436,1988,454,515,176,12,10,9,39,40,70
23887,307,264,105,73,202,251,12,0,0,36,0,36
23888,2420,233,1370,175,929,162,12,22,38,63,122,126
23889,748,298,111,96,544,286,12,0,46,90,94,156
23890,4396,425,1677,241,2616,373,12,0,27,84,152,158
23891,2112,230,475,95,1450,188,12,12,45,47,260,125
23893,286,163,226,146,60,67,12,0,0,36,0,36
23894,807,368,522,296,274,204,12,0,0,36,22,44
23897,516,217,222,96,294,187,12,0,0,36,0,36
23898,2190,394,1809,380,275,141,12,0,0,36,212,224
23899,330,80,252,66,63,35,4,0,8,23,14,38
23901,18397,1094,12954,912,4426,656,23,198,355,277,928,392
23909,447,198,369,181,60,45,12,12,0,36,12,36
23915,1215,328,725,286,472,117,12,0,1,26,34,62
23917,2778,383,1553,300,1081,334,76,9,109,92,52,60
23919,2436,398,1848,427,521,226,23,0,17,47,100,133
23920,2975,532,1432,315,1453,424,12,0,38,80,104,122
23921,1297,332,915,277,290,125,83,22,70,107,0,36
23922,4551,489,3002,456,1344,276,12,20,162,192,46,52
23923,3083,460,2440,410,560,179,12,23,2,28,116,139
