id,county_id,Name,AltName,OrigName,State,County1,County2,County3,OrigCounty,Established,Discontinued,Continuous,StampIndex,ID,Coordinates,Duration,GNIS.Match,GNIS.Name,GNIS.County,GNIS.State,GNIS.FEATURE_ID,GNIS.Feature.Class,GNIS.OrigName,GNIS.OrigCounty,GNIS.Latitude,GNIS.Longitude,GNIS.ELEV_IN_M,GNIS.Dist,Latitude,Longitude
4242,68,MOROTOCK,,MOROTOCK,VA,PITTSYLVANIA,,,Pittsylvania,1886,1900,TRUE,5,100355,FALSE,14,FALSE,,,,,,,,,,,,,
4243,41,MORRIS,,MORRIS,VA,HANOVER,,,Hanover,1855,1883,FALSE,6,100369,FALSE,28,FALSE,,,,,,,,,,,,,
4244,15,MORRIS CHURCH,,MORRIS CHURCH,VA,CAMPBELL,,,Campbell,1850,1907,FALSE,4,100377,TRUE,57,TRUE,MORRIS CHURCH,CAMPBELL,VA,1470757,Locale,Morris Church,Campbell,37.16403,-78.88557,204,1,37.16403,-78.88557
4245,1,MORRIS' STORE,MORRIS STORE,MORRIS' STORE,VA,ALBEMARLE,,,Albemarle,1831,1832,TRUE,9,100380,FALSE,1,FALSE,,,,,,,,,,,,,
4246,2,MORRIS HILL,MORRIS' HILL,MORRIS(') HILL,VA,ALLEGHANY,,,Alleghany,1829,1879,FALSE,6,100382,TRUE,50,TRUE,MORRIS HILL,ALLEGHANY,VA,1488537,Locale,Morris Hill Campground,Alleghany,37.93374,-79.97172,614,,37.93374,-79.97172
4247,89,MORRISON,,MORRISON,VA,WARREN,,,Warren,1883,1951,TRUE,1,100387,TRUE,68,TRUE,MORRISON,WARREN,VA,1470767,School,Morrison School,Warren,38.9196,-78.19289,167,1,38.9196,-78.19289
4248,52,MORRISONVILLE,,MORRISONVILLE,VA,LOUDOUN,,,Loudoun,1854,1904,FALSE,5,100395,TRUE,50,TRUE,MORRISONVILLE,LOUDOUN,VA,1499768,Populated Place,Morrisonville,Loudoun,39.22316,-77.66832,153,1,39.22316,-77.66832
4249,29,MORRISVILLE,,MORRISVILLE,VA,FAUQUIER,,,Fauquier,1811,1960,FALSE,1,100408,TRUE,149,TRUE,MORRISVILLE,FAUQUIER,VA,1495969,Populated Place,Morrisville,Fauquier,38.50179,-77.69999,128,1,38.50179,-77.69999
4250,19,MORTON'S STORE,MORTONS STORE,MORTON'S STORE,VA,CHARLOTTE,,,Charlotte,1797,1810,TRUE,9,100443,FALSE,13,FALSE,,,,,,,,,,,,,
4251,3,MORVEN,,MORVEN,VA,AMELIA,,,Amelia,1853,1909,FALSE,4,100449,TRUE,56,TRUE,MORVEN,AMELIA,VA,1477555,Populated Place,Morven,Amelia,37.41821,-78.07556,122,1,37.41821,-78.07556
4252,29,MOSBY,,MOSBY,VA,FAUQUIER,,,Fauquier,1900,1909,TRUE,4,100453,FALSE,9,FALSE,,,,,,,,,,,,,
4253,7,MOSCOW,,MOSCOW,VA,AUGUSTA,,,Augusta,1872,1907,FALSE,5,100462,TRUE,35,TRUE,MOSCOW,AUGUSTA,VA,1477556,Populated Place,Moscow,Augusta,38.31707,-79.08892,436,1,38.31707,-79.08892
4254,14,MOSELEY,,MOSELEY,VA,BUCKINGHAM,,,Buckingham,1885,1903,TRUE,5,100471,FALSE,18,FALSE,,,,,,,,,,,,,
4255,69,MOSELEY,,MOSELEY,VA,POWHATAN,,,Powhattan,1919,,TRUE,0,100472,TRUE,,TRUE,MOSELEY,POWHATAN,VA,1470776,Populated Place,Moseley,Powhatan,37.47515,-77.77889,95,1,37.47515,-77.77889
4256,69,MOSELEYS JUNCTION,,MOSELEYS JUNCTION,VA,POWHATAN,,,Powhattan,1890,1919,TRUE,1,100474,TRUE,29,TRUE,MOSELYS JUNCTION,POWHATAN,VA,1470776,Populated Place,Moselys Junction,Powhatan,37.47515,-77.77889,95,0.9411765,37.47515,-77.77889
4257,54,MOSES,,MOSES,VA,LUNENBURG,,,Lunenburg,1904,1913,TRUE,4,100479,FALSE,9,FALSE,,,,,,,,,,,,,
4258,87,MOSONS DEPOT,,MOSONS DEPOT,VA,SUSSEX,,,Sussex,1894,1903,TRUE,5,100492,FALSE,9,FALSE,,,,,,,,,,,,,
4259,16,MOSS NECK,,MOSS NECK,VA,CAROLINE,,,Caroline,1860,1942,FALSE,2,100498,TRUE,82,TRUE,MOSS NECK,CAROLINE,VA,1499769,Populated Place,Moss Neck,Caroline,38.22069,-77.29915,3,1,38.22069,-77.29915
4260,19,MOSSING FORD,,MOSSING FORD,VA,CHARLOTTE,,,Charlotte,1839,1908,FALSE,4,100501,TRUE,69,TRUE,MOSSING FORD,CHARLOTTE,VA,1499770,Populated Place,Mossing Ford,Charlotte,36.96403,-78.64222,134,1,36.96403,-78.64222
4261,7,MOSSY CREEK,,MOSSY CREEK,VA,AUGUSTA,,,Augusta,1852,1926,FALSE,3,100508,TRUE,74,TRUE,MOSSY CREEK,AUGUSTA,VA,1470787,Locale,Mossy Creek,Augusta,38.35735,-79.02864,384,1,38.35735,-79.02864
4262,7,MOSSY CREEK IRON WORKS,,MOSSY CREEK IRON WORKS,VA,AUGUSTA,,,Augusta,1833,1835,TRUE,8,100509,FALSE,2,FALSE,,,,,,,,,,,,,
4263,43,MOTLEY,,MOTLEY,VA,HENRY,,,Henry,1883,1884,TRUE,6,100515,FALSE,1,FALSE,,,,,,,,,,,,,
4264,68,MOTLEY,MOTLEY'S,MOTLEY('S),VA,PITTSYLVANIA,,,Pittsylvania,1887,1928,FALSE,3,100516,TRUE,41,TRUE,MOTLEY,PITTSYLVANIA,VA,1493314,Populated Place,Motley,Pittsylvania,37.06959,-79.34114,246,1,37.06959,-79.34114
4265,68,MOTLEY'S DEPOT,MOTLEYS DEPOT,MOTLEY'S DEPOT,VA,PITTSYLVANIA,,,Pittsylvania,1876,1887,FALSE,3,100517,TRUE,11,TRUE,MOTLEY'S DEPOT,PITTSYLVANIA,VA,1493314,Populated Place,Motley's Depot,Pittsylvania,37.06959,-79.34114,246,1,37.06959,-79.34114
4266,56,MOTORUN,,MOTORUN,VA,MATHEWS,,,Mathews,1910,1967,TRUE,1,100522,TRUE,57,TRUE,MOTORUN,MATHEWS,VA,1470791,Populated Place,Motorun,Mathews,37.33736,-76.3005,1,1,37.33736,-76.3005
